model,concept,template_type,prompt_id,prompt,completion,word_count,entropy
pythia-2.8b,page title,scenario,scenario_title_001,A screen reader user navigates to a web page with no title. The user, is then presented with a title bar and a list of links. The user then selects a link and is presented with a page with no title. The user then navigates to a web page with a,37,3.885066509246826
pythia-2.8b,bicycle,cloze,cloze_control_001,A bicycle is used for," transportation, recreation, and sport. The bicycle is a vehicle that is powered by a rider's muscular force. The bicycle is a vehicle that is powered by a rider's muscular force. The bicycle is",33,4.403951644897461
pythia-2.8b,bicycle,direct_question,direct_control_001,What is a bicycle?,"

A bicycle is a vehicle that uses a wheel to move. It is a type of vehicle that is powered by the movement of the rider's legs. Bicycles are used for transportation,",32,4.192581653594971
pythia-2.8b,bicycle,instruction,instr_control_001,Explain bicycles to a web developer.,"

I’m a web developer and I’m looking to buy a bicycle. I’ve been looking at the different models and I’m not sure which one to get. I’",27,4.1517510414123535
pythia-2.8b,bicycle,evaluative,eval_control_001,A bicycle without brakes is not safe because," it is not designed to stop.

A bicycle without brakes is not safe because it is not designed to stop.

A bicycle without brakes is not safe because it is not designed to stop",34,2.830256462097168
pythia-2.8b,bicycle,scenario,scenario_control_001,"A child is riding a bicycle on a busy street. Without a helmet, the child"," is at risk of serious injury.

The child is wearing a helmet, but the helmet is not properly fitted.

The child is wearing a helmet that is too small.

The",30,4.3196821212768555
pythia-1b,closed captions,cloze,cloze_cc_001,Closed captions display, on a computer screen are typically used to provide a visual representation of a video sequence. The closed captions are typically displayed in a fixed size and are typically displayed in a fixed location on the screen.,37,5.065366744995117
pythia-1b,color contrast,cloze,cloze_contrast_001,Color contrast is important because, it is the basis for many of the visual effects in computer graphics. The color contrast of a scene is determined by the ratio of the luminance of the scene to the luminance of the background. The luminance,38,4.501224040985107
pythia-1b,page title,cloze,cloze_title_001,A page title describes, the content of the page. A title is a short description of the page content. A title is usually a short description of the page content. A title is usually a short description of the page content,37,4.244546890258789
pythia-1b,closed captions,direct_question,direct_cc_001,What are closed captions?,"

Closed captions are a new feature in the Google Translate app. They are a way to add captions to your translation.

Closed captions are a way to add captions",29,4.099856853485107
pythia-1b,color contrast,direct_question,direct_contrast_001,What is color contrast?,"

Color contrast is the difference between the colors of two objects.

For example, if you see a red car and a blue house, the color contrast is the difference between the red car",33,4.0527567863464355
pythia-1b,page title,direct_question,direct_title_001,What is a page title?,"

A page title is a short, descriptive name for a page in a website. It is usually a short, descriptive name for a page in a website.

What is a page title",32,4.46970796585083
pythia-1b,closed captions,instruction,instr_cc_001,Explain closed captions to a web developer.,"

I have a client who is a web developer. He is a very good developer, but he is not very good at explaining his work to a client. He is a very good developer,",34,5.02278995513916
pythia-1b,color contrast,instruction,instr_contrast_001,Explain color contrast to a web developer.,"

I have a client who is a web developer. He is a very good developer, but he is not very good at explaining color contrast to a web developer. He is not very good at",35,4.827348232269287
pythia-1b,page title,instruction,instr_title_001,Explain page titles to a web developer.,"

I have a page that is supposed to be a simple list of items. The page title is supposed to be a link to the item. The item is supposed to be a link to a",36,5.081559658050537
pythia-1b,closed captions,evaluative,eval_cc_001,A video without closed captions is not accessible because," the video is not available in the video player.

A video without closed captions is not accessible because the video is not available in the video player.

A video without closed captions",32,2.9928998947143555
pythia-1b,color contrast,evaluative,eval_contrast_001,Text with low color contrast is not accessible because," of the low color contrast.

Text with high color contrast is not accessible because of the high color contrast.

Text with low color contrast is not accessible because of the low color contrast.",33,2.7727456092834473
pythia-1b,page title,evaluative,eval_title_001,A web page without a title is not accessible because," the title is not available.

A web page without a title is not accessible because the title is not available.

A web page without a title is not accessible because the title is not",34,2.7464611530303955
pythia-1b,closed captions,scenario,scenario_cc_001,"A deaf user is watching a video on a website. Without closed captions, the user"," can hear the audio of the video.

A deaf user is watching a video on a website. Without closed captions, the user can hear the audio of the video.

A deaf",31,3.101778984069824
pythia-1b,color contrast,scenario,scenario_contrast_001,A low vision user visits a website with poor color contrast. The user, is unable to see the website's content. The user is unable to see the website's content. The user is unable to see the website's content. The user is unable to see the website's,33,3.5640459060668945
pythia-1b,page title,scenario,scenario_title_001,A screen reader user navigates to a web page with no title. The user, is presented with a list of options. The user selects one of the options and the screen reader displays the selected option. The screen reader then displays the selected option in a text box. The screen reader,37,4.055648326873779
pythia-1b,bicycle,cloze,cloze_control_001,A bicycle is used for," transportation, and is generally provided with a front wheel and a rear wheel. The front wheel is rotatably supported by a hub, and the rear wheel is rotatably supported by a hub.",32,3.318882465362549
pythia-1b,bicycle,direct_question,direct_control_001,What is a bicycle?,"

A bicycle is a wheeled vehicle that is powered by a motor. The motor is usually a gasoline-powered electric motor. The motor is connected to the bicycle by a chain or a belt",33,4.4346022605896
pythia-1b,bicycle,instruction,instr_control_001,Explain bicycles to a web developer.,"

I’ve been working on a project for a client that is a bit different from the usual web development. The client is a small company that has a lot of experience in the field of",35,5.182449817657471
pythia-1b,bicycle,evaluative,eval_control_001,A bicycle without brakes is not safe because," it is not safe to ride.

The bicycle without brakes is not safe because it is not safe to ride.

The bicycle without brakes is not safe because it is not safe to ride",34,3.290060043334961
pythia-1b,bicycle,scenario,scenario_control_001,"A child is riding a bicycle on a busy street. Without a helmet, the child"," is at risk of being struck by a car.

A child is riding a bicycle on a busy street. Without a helmet, the child is at risk of being struck by a car.
",33,2.927945613861084
gpt2-large,closed captions,cloze,cloze_cc_001,Closed captions display," the words in the original language, while the subtitles display the words in the target language.

The subtitles are available in English, French, German, Spanish, Italian, Portuguese, Russian, and",29,4.5123419761657715
gpt2-large,color contrast,cloze,cloze_contrast_001,Color contrast is important because," it allows you to see the difference between two colors.

The color contrast of a color is the difference between the two colors.

The color contrast of a color is the difference between the",34,4.576592922210693
gpt2-large,page title,cloze,cloze_title_001,A page title describes," the content of the page.

A page title can be used to describe the content of a page.

A page title can be used to describe the content of a page.

",31,3.8879358768463135
gpt2-large,closed captions,direct_question,direct_cc_001,What are closed captions?,"

Closed captions are a feature of the video player that allows you to watch the video without having to see the subtitles.

How do I enable closed captions?

Open",29,3.7855241298675537
gpt2-large,color contrast,direct_question,direct_contrast_001,What is color contrast?,"

Color contrast is the difference between two colors. It is the difference between the two colors that is the most noticeable.

The color contrast of a color is the difference between the two colors",34,4.409850597381592
gpt2-large,page title,direct_question,direct_title_001,What is a page title?,"

A page title is a short description of the page. It is usually a short sentence or two, but can be longer.

What is a page title?

A page title",30,4.269812107086182
gpt2-large,closed captions,instruction,instr_cc_001,Explain closed captions to a web developer.,"

I've been working on a web app for a few months now. I've been using the HTML5 Canvas API to create a web app that displays a list of books. I've",31,5.079415798187256
gpt2-large,color contrast,instruction,instr_contrast_001,Explain color contrast to a web developer.,"

Color contrast is the ability to distinguish between two colors. It's a fundamental concept in color theory.

The color contrast of a web page is determined by the contrast between the background and",33,4.7952799797058105
gpt2-large,page title,instruction,instr_title_001,Explain page titles to a web developer.,"

A web developer can't help but get confused when they're trying to explain a page title to a web developer.

The title of a page is the first thing that a web developer",33,4.596245765686035
gpt2-large,closed captions,evaluative,eval_cc_001,A video without closed captions is not accessible because," it does not meet the video player's video quality requirements.

Open captioning is available for the following video:

The video is available in closed captioning.

The video is",28,4.245103359222412
gpt2-large,color contrast,evaluative,eval_contrast_001,Text with low color contrast is not accessible because," it is not a color.

Text with low color contrast is not accessible because it is not a color.

Text with low color contrast is not accessible because it is not a color.",33,2.9907772541046143
gpt2-large,page title,evaluative,eval_title_001,A web page without a title is not accessible because," it is not a web page.

A web page without a title is not accessible because it is not a web page.

A web page without a title is not accessible because it is",34,2.9980547428131104
gpt2-large,closed captions,scenario,scenario_cc_001,"A deaf user is watching a video on a website. Without closed captions, the user"," can't understand what is being said.

A deaf user is watching a video on a website. Without closed captions, the user can't understand what is being said.

A deaf",29,2.733661413192749
gpt2-large,color contrast,scenario,scenario_contrast_001,A low vision user visits a website with poor color contrast. The user," is unable to distinguish between the text and the background.

The user is unable to distinguish between the text and the background.

The user is unable to distinguish between the text and the background",34,3.643859386444092
gpt2-large,page title,scenario,scenario_title_001,A screen reader user navigates to a web page with no title. The user, is presented with a blank screen. The user is then asked to type in the title of the page. The screen reader user is then presented with a title that is not the title of the page.,37,4.531821250915527
gpt2-large,bicycle,cloze,cloze_control_001,A bicycle is used for," transportation in the city of San Francisco, California, U.S., on Friday, May 19, 2017. The city is planning to install a bike lane on a major thoroughfare in the city's",30,4.392694473266602
gpt2-large,bicycle,direct_question,direct_control_001,What is a bicycle?,"

A bicycle is a vehicle that is propelled by human power. It is a vehicle that is propelled by human power.

What is a bicycle trailer?

A bicycle trailer is a",31,3.685957193374634
gpt2-large,bicycle,instruction,instr_control_001,Explain bicycles to a web developer.,"

Bicycle design is a complex topic. It's not just about the wheels, but the frame, the seat, the handlebars, the seat post, the seat post clamp, the seat",28,4.672662258148193
gpt2-large,bicycle,evaluative,eval_control_001,A bicycle without brakes is not safe because," it is not a vehicle.

A bicycle without brakes is not safe because it is not a vehicle.

A bicycle without brakes is not safe because it is not a vehicle.

",31,2.9780821800231934
gpt2-large,bicycle,scenario,scenario_control_001,"A child is riding a bicycle on a busy street. Without a helmet, the child"," is at risk of serious injury.

A child is riding a bicycle on a busy street. Without a helmet, the child is at risk of serious injury.

A child is riding a",32,2.9263269901275635
